License Number,Street Number,Street Name,City,State,Zip Code,Square Footage
713975,583,FLATBUSH AVE                 ,BROOKLYN          ,NY,11225,0
710405,5,BRADFORD ST                    ,BROOKLYN          ,NY,11207,800
707015,5502,CHURCH AVE                  ,BROOKLYN          ,NY,11203,2000
706762,809,ROGERS AVE               ,BROOKLYN          ,NY,11226,600
613913,710,GEORGIA AVE                  ,BROOKLYN          ,NY,11207,500
714804,1222,ROGERS AVE                  ,BROOKLYN          ,NY,11226,1000
702433,5013,10TH AVE              ,BROOKLYN          ,NY,11219,3000
727648,,NYS DMV CORE 3 SOUTH SWAN STREET#,ALBANY            ,NY,12223,300
704837,159,BALTIC ST                    ,BROOKLYN          ,NY,11201,1000
610325,655,STANLEY AVE                  ,BROOKLYN          ,NY,11207,15000
722162,26,CR 353                        ,RENSSELAERVILLE   ,NY,12147,400
728146,5868,STATE ROUTE 32          ,WESTERLO          ,NY,12193,2000
715044,237,AVENUE X                     ,BROOKLYN          ,NY,11223,1500
65484,,MAIN&CENTER STS                  ,FREWSBURG         ,NY,14738,4500
671908,34,AVENUE O                      ,BROOKLYN          ,NY,11204,1200
706520,298,IRVING AVE                   ,BROOKLYN          ,NY,11237,1500
672065,135,PARK AVE                     ,BROOKLYN          ,NY,11205,1000
714461,9002,3RD AVE                     ,BROOKLYN          ,NY,11209,500
619437,310,NOSTRAND AVE                 ,BROOKLYN          ,NY,11216,1200
710565,50,LEE AVE                       ,BROOKLYN          ,NY,11211,1500
670108,783,SARATOGA AVE                 ,BROOKLYN          ,NY,11212,10000
703532,143,MANHATTAN AVE                ,BROOKLYN          ,NY,11206,300
706469,1193,MYRTLE AVNUE                ,BROOKLYN          ,NY,11221,800
708821,5707,8TH AVE                     ,BROOKLYN          ,NY,11220,6500
672100,535,MARCY AVE                    ,BROOKLYN          ,NY,11206,5000
672260,31,GREENPOINT AVE                ,BROOKLYN          ,NY,11222,1400
713627,528,GATEWAY DR             ,BROOKLYN          ,NY,11239,15000
672156,2803,MERMAID AVE                 ,BROOKLYN          ,NY,11224,500
704947,7102,NEW UTRECHT AVE             ,BROOKLYN          ,NY,11228,1200
707689,7702,3RD AVE                     ,BROOKLYN          ,NY,11209,1500
672115,3437,FORT HAMILTON PARKWAY       ,BROOKLYN          ,NY,11218,4000
614563,893,MANHATTAN AVE                ,BROOKLYN          ,NY,11222,2200
712976,1214,AVENUE U                    ,BROOKLYN          ,NY,11229,1000
704162,859,MANHATTAN AVE            ,BROOKLYN          ,NY,11222,20000
671158,541C,MYRTLE AVE                  ,BROOKLYN          ,NY,11205,3000
705067,214,UTICA AVE                    ,BROOKLYN          ,NY,11213,1000
707143,3924,18TH AVE                    ,BROOKLYN          ,NY,11218,1400
704324,263,NOSTRAND AVE                 ,BROOKLYN          ,NY,11216,1000
714783,1656,BATH  AVE                   ,BROOKLYN          ,NY,11214,1500
672263,1420,KINGS HWY                   ,BROOKLYN          ,NY,11229,1800
706162,2276,65TH ST                     ,BROOKLYN          ,NY,11204,2000
618557,911,E 107TH ST                   ,BROOKLYN          ,NY,11236,1000
670741,283,IRVING AVE                   ,BROOKLYN          ,NY,11237,500
709123,3485,NEPTUNE AVE                 ,BROOKLYN          ,NY,11224,10000
610128,719,FULTON ST                    ,BROOKLYN          ,NY,11217,800
707478,5430,16TH AVE                    ,BROOKLYN          ,NY,11204,4000
610081,1526,MERMAID AVE                 ,BROOKLYN          ,NY,11224,800
670760,1083,UTICA AVE                   ,BROOKLYN          ,NY,11203,2000
714155,1193,FULTON ST                   ,BROOKLYN          ,NY,11216,1200
670716,496,NOSTRAND AVE                 ,BROOKLYN          ,NY,11216,1200
670849,2865,HARWAY AVE                  ,BROOKLYN          ,NY,11214,1500
708906,2027,FLATBUSH AVE                ,BROOKLYN          ,NY,11234,0
710943,4215,FORT HAMILTON PKWY          ,BROOKLYN          ,NY,11219,4000
10514,,ONE CROSSGATES MALL RD SUITE P-21,ALBANY            ,NY,12203,1500
710639,320,AVENUE U                     ,BROOKLYN          ,NY,11223,2500
711787,1245,BROADWAY                    ,BROOKLYN          ,NY,11221,18000
671325,348,"ATLANTIC AVE, #1             ",BROOKLYN          ,NY,11217,0
708027,154,CLINTON AVE                  ,BROOKLYN          ,NY,11205,800
707456,190,EAST 98TH ST                 ,BROOKLYN          ,NY,11212,7000
706082,164,TOMPKINS AVE                 ,BROOKLYN          ,NY,11206,0
713322,716,ROCKAWAY AVE                 ,BROOKLYN          ,NY,11212,850
707752,6321,17TH AVE                    ,BROOKLYN          ,NY,11204,1500
670631,1466,PITKIN AVE                  ,BROOKLYN          ,NY,11212,2000
706553,2096,FULTON ST                   ,BROOKLYN          ,NY,11233,1300
615085,7002,13TH AVE                    ,BROOKLYN          ,NY,11228,0
672068,148,MONTAGUE ST                  ,BROOKLYN          ,NY,11201,300
708042,1925,NOSTRAND AVE                ,BROOKLYN          ,NY,11226,0
617123,890-892,UTICA AVE                ,BROOKLYN          ,NY,11203,3000
714339,1419,39TH ST                     ,BROOKLYN          ,NY,11218,3000
712830,7010,18TH AVE                    ,BROOKLYN          ,NY,11204,1000
702023,29,KINGSLAND AVE                 ,BROOKLYN          ,NY,11211,1200
708351,1789,LINDEN BLVD                 ,BROOKLYN          ,NY,11207,2000
709275,20,PUTNAM AVE                    ,BROOKLYN          ,NY,11238,700
15851,599,STATE RT 143                 ,WESTERLO          ,NY,12193,2000
671907,438,7TH AVE                      ,BROOKLYN          ,NY,11215,900
671235,683A,MYRTLE AVE                  ,BROOKLYN          ,NY,11205,0
704089,102,CORTELYOU RD                 ,BROOKLYN          ,NY,11218,3000
705170,29,BELMONT AVE               ,BROOKLYN          ,NY,11212,10000
671916,4623,7TH AVE                     ,BROOKLYN          ,NY,11220,1500
711709,135,GRAHAM AVE               ,BROOKLYN          ,NY,11206,300
711765,4712,16 AVE                      ,BROOKLYN          ,NY,11204,2500
706135,586,S CONDUIT BLVD               ,BROOKLYN          ,NY,11208,1000
614440,3056,AVENUE X                    ,BROOKLYN          ,NY,11235,1500
708929,1123,AVENUE J                    ,BROOKLYN          ,NY,11230,0
713665,114,COZINE AVE                   ,BROOKLYN          ,NY,11207,0
708710,73,DECATUR ST                    ,BROOKLYN          ,NY,11216,1400
16028,456,RT 146 MAIN ST       ,GUILDERLAND CENTER,NY,12085,1500
611627,1188,FLATBUSH AVE                ,BROOKLYN          ,NY,11226,10000
671147,1961,FULTON ST                   ,BROOKLYN          ,NY,11233,0
671909,5415,CHURCH AVE                  ,BROOKLYN          ,NY,11203,5000
619602,328,KINGSTON AVE                 ,BROOKLYN          ,NY,11213,1500
710921,7023,20TH AVE                    ,BROOKLYN          ,NY,11204,1200
710718,3771,NOSTRAND AVE                ,BROOKLYN          ,NY,11235,2000
714292,11,VANDERBILT AVE                ,BROOKLYN          ,NY,11205,1400
613429,1010,BEVERLEY RD                 ,BROOKLYN          ,NY,11218,800
705260,805,AVENUE U                     ,BROOKLYN          ,NY,11223,2000
705379,1281,FULTON ST           ,BROOKLYN          ,NY,11216,10000
672097,1531,BERGEN ST                   ,BROOKLYN          ,NY,11213,300
